empId,passengerId,testDate,testTime,testResult
M9,892-11-8930,2020-03-17,2:34:15,positive
M10,245-43-0234,2020-03-17,21:02:12,positive
M1,893-83-3853,2020-03-17,5:01:29,positive
M2,123-66-6035,2020-03-17,14:29:02,positive
M3,797-32-1058,2020-03-17,22:38:30,positive
M4,418-11-5469,2020-03-17,14:03:16,negative
M5,177-32-7733,2020-03-17,18:53:27,positive
M6,781-16-1604,2020-03-17,0:41:29,negative
M7,656-30-1906,2020-03-17,22:05:01,positive
M8,819-82-4278,2020-03-17,11:18:10,negative
M9,779-99-4773,2020-03-17,9:49:20,negative
M10,515-61-3225,2020-03-17,23:46:38,positive
M1,565-52-0291,2020-03-17,18:36:48,positive
M2,371-05-7084,2020-03-17,8:31:33,positive
M3,758-63-2260,2020-03-17,13:33:46,positive
M4,794-43-0437,2020-03-17,3:10:15,negative
M5,585-64-5266,2020-03-17,21:43:47,positive
M6,403-79-4759,2020-03-17,11:56:20,positive
M7,434-14-1387,2020-03-17,8:12:23,positive
M8,436-44-1931,2020-03-17,2:00:42,negative
M9,318-03-9396,2020-03-17,5:12:26,negative
M10,667-33-4458,2020-03-17,20:21:03,positive
M1,302-33-4306,2020-03-17,11:12:01,negative
M2,194-84-7389,2020-03-17,2:56:31,negative
M3,341-86-0960,2020-03-17,2:42:53,positive
M4,455-45-8609,2020-03-17,11:24:37,positive
M5,141-92-3014,2020-03-17,3:04:44,negative
M6,580-89-4161,2020-03-17,12:29:41,negative
M7,107-48-6596,2020-03-17,16:50:30,positive
M8,897-01-2511,2020-03-17,20:34:17,positive
M9,746-49-8285,2020-03-17,10:06:37,positive
M10,485-90-1726,2020-03-17,15:25:56,negative
M1,863-80-6261,2020-03-17,5:45:03,negative
M2,194-41-8422,2020-03-17,14:25:39,negative
M3,504-27-4014,2020-03-17,8:57:16,positive
M4,645-08-7702,2020-03-17,19:55:23,negative
M5,534-58-2592,2020-03-17,2:50:51,negative
M6,178-79-9628,2020-03-17,3:38:56,negative
M7,707-83-8199,2020-03-17,20:02:09,negative
M8,627-78-9611,2020-03-17,10:31:06,positive
M9,877-67-2008,2020-03-17,16:46:14,positive
M10,756-66-8231,2020-03-17,15:37:43,positive
M1,459-25-4677,2020-03-17,22:32:45,negative
M2,808-91-2831,2020-03-17,21:59:29,positive
M3,435-63-2219,2020-03-17,15:21:17,negative
M4,717-22-2133,2020-03-17,3:49:02,positive
M5,430-13-9051,2020-03-17,5:45:58,negative
M6,100-30-9675,2020-03-17,2:06:18,positive
M7,650-07-5603,2020-03-17,10:42:16,negative
M8,640-87-8649,2020-03-17,1:15:23,positive
M9,332-68-4888,2020-03-17,14:24:52,negative
M10,653-05-5629,2020-03-17,6:50:37,negative
M1,423-20-7647,2020-03-17,22:47:29,negative
M2,711-82-0974,2020-03-17,20:48:22,positive
M3,784-18-0134,2020-03-17,1:55:24,positive
M4,172-43-9067,2020-03-17,11:30:21,negative
M5,725-79-9398,2020-03-17,11:20:48,positive
M6,639-14-1259,2020-03-17,10:32:14,positive
M7,389-85-4534,2020-03-17,18:11:01,negative
M8,709-21-6440,2020-03-17,8:10:57,negative
M9,665-63-3378,2020-03-17,20:21:10,negative
M10,555-53-5807,2020-03-17,9:28:18,negative
M1,404-15-1915,2020-03-17,4:26:04,positive
M2,168-84-0728,2020-03-17,21:04:28,positive
M3,834-06-9306,2020-03-17,2:54:47,negative
M4,754-41-4377,2020-03-17,10:21:54,positive
M1,397-20-4859,2020-03-17,20:10:44,negative
M2,104-04-2707,2020-03-17,23:35:12,positive
M3,537-91-9453,2020-03-17,1:55:45,negative
M4,713-71-2655,2020-03-17,10:27:40,negative
M5,429-04-2583,2020-03-17,5:30:12,positive
M6,383-26-0277,2020-03-17,8:10:06,positive
M7,107-10-3320,2020-03-17,17:29:29,negative
M8,719-36-2640,2020-03-17,16:32:41,positive
M1,445-19-2400,2020-03-17,7:35:26,negative
M2,539-92-3840,2020-03-17,6:03:53,negative
M1,589-70-1090,2020-03-17,7:26:10,positive
M2,441-66-4669,2020-03-17,21:20:42,positive
M3,322-08-0508,2020-03-17,12:15:18,negative
M4,719-01-6586,2020-03-17,0:48:42,positive
M5,630-18-8795,2020-03-17,19:46:34,positive
M6,817-89-5770,2020-03-17,7:23:10,negative
M7,443-31-9318,2020-03-17,6:01:50,positive
M8,264-64-7904,2020-03-17,4:39:21,positive
M1,497-97-9365,2020-03-17,21:39:35,positive
M2,749-73-9392,2020-03-17,14:55:42,positive
M3,798-51-0809,2020-03-17,23:16:17,positive
M4,466-31-9757,2020-03-17,1:06:02,negative
M5,157-47-8081,2020-03-17,11:21:47,positive
M6,136-16-4848,2020-03-17,0:06:41,negative
M7,413-03-4787,2020-03-17,4:46:28,positive
M1,692-10-8366,2020-03-17,13:22:17,negative
M2,358-23-6694,2020-03-17,5:22:50,negative
M3,342-35-6452,2020-03-17,13:13:50,negative
M1,416-28-1702,2020-03-17,7:38:16,positive
M2,720-38-5912,2020-03-17,22:36:05,positive
M3,595-71-4824,2020-03-17,17:06:47,positive
M4,557-38-0286,2020-03-17,17:42:00,negative
M5,187-60-1927,2020-03-17,21:42:52,positive
M6,451-31-1208,2020-03-17,19:56:16,negative
M7,898-30-2226,2020-03-17,4:06:13,negative
M8,875-86-9664,2020-03-17,14:10:23,positive
M9,224-28-9515,2020-03-17,3:54:15,negative
M10,512-39-3747,2020-03-17,15:19:03,negative
M1,406-43-8118,2020-03-17,21:50:06,negative
M2,190-30-6857,2020-03-17,19:36:45,positive
M3,649-06-0547,2020-03-17,12:32:56,negative
M4,144-82-7573,2020-03-17,12:36:20,negative
M5,304-88-9052,2020-03-17,17:46:02,negative
M1,676-10-3196,2020-03-17,19:01:31,negative
M2,486-76-0160,2020-03-17,1:56:05,negative
M3,377-98-0359,2020-03-17,21:34:06,negative
M4,849-20-1926,2020-03-17,11:30:14,positive
M5,407-52-5466,2020-03-17,17:03:34,positive
M6,418-65-8672,2020-03-17,11:08:44,positive
M1,843-10-5373,2020-03-17,20:05:42,positive
M2,608-27-0002,2020-03-17,6:04:20,negative
M1,423-02-0046,2020-03-17,11:03:06,negative
M2,895-62-0290,2020-03-17,2:19:36,positive
M3,361-55-1524,2020-03-17,5:51:52,positive
M4,222-39-2285,2020-03-17,3:00:03,positive
M5,290-16-6819,2020-03-17,7:47:27,positive
M6,737-55-5579,2020-03-17,21:08:03,negative
M7,347-54-2119,2020-03-17,5:02:28,negative
M8,878-47-1486,2020-03-17,7:57:05,positive
M9,648-76-1548,2020-03-17,1:57:30,negative
M10,258-69-3099,2020-03-17,17:30:26,positive
M1,429-25-2582,2020-03-17,14:09:53,negative
M2,525-60-6805,2020-03-17,3:10:53,positive
M3,748-77-9685,2020-03-17,2:41:57,negative
M4,352-90-6549,2020-03-17,4:00:30,positive
M5,275-33-0780,2020-03-17,15:21:00,positive
M6,216-96-5863,2020-03-17,9:38:40,positive
M7,701-11-1646,2020-03-17,1:02:29,negative
M8,541-40-4423,2020-03-17,15:13:17,negative
M9,677-62-6979,2020-03-17,9:30:38,negative
M1,679-30-7694,2020-03-17,2:52:24,positive
M1,585-71-0252,2020-03-17,10:00:54,positive
M2,388-99-9108,2020-03-17,10:00:53,negative
M3,234-90-1217,2020-03-17,7:05:54,positive
M1,869-99-2555,2020-03-17,23:22:18,positive
M2,823-38-0747,2020-03-17,11:14:26,negative
M3,672-02-2430,2020-03-17,15:41:14,positive
M4,425-61-3447,2020-03-17,9:33:49,positive
M5,752-30-4427,2020-03-17,1:25:22,positive
M6,209-29-1908,2020-03-17,15:02:41,positive
M1,517-98-3689,2020-03-17,18:36:52,positive
M2,198-38-2443,2020-03-17,12:53:21,negative
M3,362-08-1438,2020-03-17,8:01:29,positive
M4,220-31-5578,2020-03-17,21:40:46,positive
M5,234-31-8470,2020-03-17,3:09:07,negative
M6,704-27-7781,2020-03-17,5:48:16,positive
M7,341-29-8117,2020-03-17,4:31:29,negative
M8,396-44-7774,2020-03-17,5:20:57,negative
M9,792-45-9811,2020-03-17,18:57:39,positive
M10,251-51-5389,2020-03-17,14:17:25,positive
M1,225-02-9302,2020-03-17,14:11:09,positive
M2,791-32-6929,2020-03-17,15:45:35,negative
M3,131-75-0345,2020-03-17,3:00:00,negative
M4,285-83-9966,2020-03-17,10:17:52,negative
M5,393-20-2331,2020-03-17,20:38:54,positive
M6,170-88-7015,2020-03-17,2:18:08,positive
M7,416-51-2119,2020-03-17,18:01:58,negative
M8,364-43-0266,2020-03-17,20:35:59,negative
M9,869-72-9651,2020-03-17,13:09:44,positive
M10,226-97-5641,2020-03-17,2:06:58,negative
M1,645-41-6338,2020-03-17,4:04:20,positive
M2,897-40-8979,2020-03-17,0:02:48,positive
M3,792-01-7609,2020-03-17,13:25:20,negative
M4,207-72-2490,2020-03-17,16:27:12,positive
M5,296-06-8859,2020-03-17,17:33:42,negative
M6,226-80-4300,2020-03-17,14:58:26,negative
M7,539-90-1120,2020-03-17,22:52:37,positive
M8,483-89-7267,2020-03-17,22:13:49,positive
M9,201-31-4853,2020-03-17,6:36:36,positive
M10,616-61-7569,2020-03-17,0:44:53,negative
M1,655-04-2632,2020-03-17,20:08:56,negative
M2,769-13-3810,2020-03-17,9:05:59,positive
M3,575-65-2767,2020-03-17,8:47:54,positive
M4,422-15-3650,2020-03-17,8:10:55,negative
M5,879-94-6620,2020-03-17,10:57:57,negative
M1,220-99-8528,2020-03-17,6:24:09,positive
M2,118-63-5349,2020-03-17,22:02:09,negative
M3,392-42-7270,2020-03-17,20:16:31,negative
M4,227-30-7720,2020-03-17,3:42:01,negative
M5,134-05-5918,2020-03-17,5:37:18,positive
M6,896-68-3070,2020-03-17,8:09:47,positive
M7,802-03-1030,2020-03-17,7:01:56,negative
M8,842-47-2393,2020-03-17,0:37:00,positive
M9,577-72-2052,2020-03-17,10:10:43,negative
M10,207-94-8333,2020-03-17,3:52:49,positive
M1,324-50-2400,2020-03-17,2:24:36,positive
M2,143-99-8736,2020-03-17,16:27:56,negative
M3,123-84-8926,2020-03-17,15:08:59,negative
M4,507-38-3004,2020-03-17,12:39:30,negative
M5,820-79-3560,2020-03-17,11:11:29,negative
M6,293-35-6297,2020-03-17,10:53:25,negative
M7,298-05-3802,2020-03-17,13:52:43,negative
M8,415-88-3711,2020-03-17,5:02:21,positive
M9,112-58-8308,2020-03-17,23:49:45,negative
M10,659-71-4493,2020-03-17,2:23:13,negative
M1,337-15-0366,2020-03-17,0:17:11,negative
M2,601-86-1015,2020-03-17,20:11:04,negative
M3,208-98-7185,2020-03-17,0:03:20,positive
M4,790-97-6709,2020-03-17,15:42:50,negative
M5,179-59-3882,2020-03-17,20:50:54,positive
M6,708-43-1559,2020-03-17,1:31:30,positive
M7,446-92-1244,2020-03-17,0:18:33,negative
M8,811-88-3745,2020-03-17,17:50:26,positive
M9,887-68-8428,2020-03-17,13:31:37,negative
M10,844-51-1629,2020-03-17,16:02:25,negative
M1,342-16-8531,2020-03-17,13:56:51,positive
M2,326-99-9078,2020-03-17,23:31:19,positive
M3,630-70-0044,2020-03-17,20:14:17,positive
M4,111-86-7400,2020-03-17,7:46:44,positive
M5,422-59-9757,2020-03-17,7:18:53,positive
M6,627-72-2229,2020-03-17,1:46:00,positive
M7,239-30-8375,2020-03-17,3:49:43,negative
M8,630-27-0211,2020-03-17,15:40:43,positive
M9,740-74-1683,2020-03-17,22:37:16,positive
M10,542-04-7627,2020-03-17,15:19:02,negative
M1,560-02-2052,2020-03-17,6:30:31,positive
M2,672-10-2385,2020-03-17,10:30:25,negative
M3,874-81-8487,2020-03-17,21:50:07,positive
M4,884-53-1398,2020-03-17,11:08:14,positive
M5,522-09-6285,2020-03-17,23:42:10,positive
M6,362-63-1714,2020-03-17,11:07:30,positive
M7,586-51-7001,2020-03-17,14:20:05,negative
M8,550-18-4505,2020-03-17,20:52:00,positive
M9,710-53-4211,2020-03-17,13:27:35,positive
M10,183-32-7348,2020-03-17,23:31:51,negative
M1,751-18-0600,2020-03-17,20:36:04,positive
M2,310-31-7843,2020-03-17,2:08:09,negative
M3,563-07-8808,2020-03-17,16:33:02,negative
M4,886-78-0750,2020-03-17,2:38:46,negative
M5,326-17-9658,2020-03-17,22:36:11,positive
M6,549-47-7635,2020-03-17,9:32:58,positive
M7,600-77-1534,2020-03-17,10:02:31,positive
M8,503-52-0578,2020-03-17,11:49:51,negative
M9,301-61-8219,2020-03-17,1:19:01,positive
M10,664-59-1173,2020-03-17,11:58:19,positive
M1,293-91-5133,2020-03-17,0:40:11,positive
M2,745-03-0922,2020-03-17,3:21:04,positive
M3,740-89-4402,2020-03-17,22:54:43,positive
M4,557-75-1855,2020-03-17,22:03:34,positive
M5,361-49-3219,2020-03-17,9:18:49,positive
M6,319-36-5084,2020-03-17,12:26:47,negative
M7,343-38-9684,2020-03-17,5:30:46,negative
M8,867-39-6880,2020-03-17,14:11:30,positive
M9,393-60-8574,2020-03-17,7:10:42,positive
M10,506-17-4648,2020-03-17,2:13:26,positive
M1,493-51-8756,2020-03-17,8:43:34,positive
M2,708-58-3471,2020-03-17,17:06:41,negative
M3,497-14-1191,2020-03-17,4:53:51,positive
M4,248-54-4315,2020-03-17,9:22:07,positive
M5,392-48-3213,2020-03-17,23:23:46,positive
M6,230-91-7175,2020-03-17,19:34:06,positive
M7,753-41-6243,2020-03-17,12:13:13,positive
M8,418-46-5391,2020-03-17,3:32:38,positive
M9,272-84-6367,2020-03-17,9:01:50,negative
M10,264-39-7488,2020-03-17,3:34:45,positive
M1,158-32-2089,2020-03-17,20:32:17,negative
M2,262-60-1429,2020-03-17,11:17:07,positive
M3,387-16-7364,2020-03-17,22:14:52,negative
M4,150-28-0696,2020-03-17,16:09:34,negative
M5,761-68-5861,2020-03-17,12:28:02,negative
M6,376-81-9031,2020-03-17,8:37:29,positive
M7,151-90-2827,2020-03-17,0:01:37,negative
M8,265-88-6316,2020-03-17,0:00:06,negative
M9,848-57-0644,2020-03-17,21:54:52,negative
M10,743-69-5728,2020-03-17,4:23:32,negative
M1,355-38-8834,2020-03-17,18:39:22,negative
M2,300-74-2230,2020-03-17,5:00:24,positive
M3,510-92-9589,2020-03-17,9:02:03,positive
M4,732-35-6461,2020-03-17,1:42:57,positive
M5,298-20-7448,2020-03-17,13:39:59,positive
M6,329-40-2301,2020-03-17,21:20:35,negative
M7,786-56-1542,2020-03-17,18:18:55,negative
M8,894-47-4970,2020-03-17,2:03:06,negative
M9,881-65-4055,2020-03-17,20:21:26,negative
M10,738-39-4343,2020-03-17,15:09:02,positive
M1,276-66-0705,2020-03-17,15:56:46,positive
M2,185-10-8712,2020-03-17,1:08:36,positive
M3,397-78-1736,2020-03-17,16:21:26,positive
M4,162-63-1147,2020-03-17,16:14:49,positive
M5,494-60-5634,2020-03-17,18:46:25,negative
M6,447-47-7102,2020-03-17,3:26:06,negative
M7,433-96-2491,2020-03-17,13:36:13,positive
M8,411-79-2708,2020-03-17,10:12:35,negative
M9,142-45-4364,2020-03-17,20:47:30,positive
M10,433-41-8975,2020-03-17,20:10:38,positive
M1,848-18-4235,2020-03-17,15:21:11,negative
M2,849-29-1409,2020-03-17,1:55:17,negative
M3,893-81-4416,2020-03-17,19:12:21,negative
M4,799-23-1021,2020-03-17,22:07:14,positive
M5,865-04-9101,2020-03-17,11:53:03,negative
M6,871-01-6834,2020-03-17,6:16:09,negative
M7,237-08-4054,2020-03-17,17:40:32,negative
M8,198-36-8718,2020-03-17,19:59:21,negative
M9,528-69-6043,2020-03-17,2:31:27,positive
M10,821-80-5156,2020-03-17,7:06:16,negative
M1,671-47-0058,2020-03-17,15:50:01,negative
M2,624-30-9677,2020-03-17,8:12:12,positive
M3,789-88-8394,2020-03-17,15:18:12,positive
M4,109-79-5810,2020-03-17,13:33:29,negative
M5,366-76-6806,2020-03-17,22:34:35,negative
M6,851-12-7105,2020-03-17,11:20:14,negative
M7,356-03-3192,2020-03-17,20:05:36,positive
M8,744-51-1704,2020-03-17,16:34:59,negative
M9,742-28-0162,2020-03-17,9:04:43,positive
M10,473-39-4149,2020-03-17,7:14:17,positive
M1,133-82-5525,2020-03-17,20:28:13,negative
M2,311-30-3528,2020-03-17,0:31:03,positive
M3,507-59-0248,2020-03-17,17:25:11,positive
M4,654-98-3843,2020-03-17,21:23:38,positive
M5,810-42-5019,2020-03-17,21:36:11,positive
M6,730-65-9462,2020-03-17,23:55:10,negative
M7,163-59-4874,2020-03-17,12:46:17,positive
M8,782-49-3575,2020-03-17,18:28:38,negative
M9,441-67-7367,2020-03-17,16:50:16,negative
M10,210-42-8295,2020-03-17,9:59:08,negative
M1,475-69-1858,2020-03-17,2:55:01,positive
M2,531-22-0992,2020-03-17,2:53:06,negative
M3,641-69-0321,2020-03-17,15:44:06,negative
M4,340-07-0097,2020-03-17,18:15:29,negative
M5,833-96-0460,2020-03-17,13:20:33,positive
M6,646-03-5103,2020-03-17,18:59:13,negative
M7,777-89-4985,2020-03-17,15:34:45,negative
M8,643-50-6277,2020-03-17,12:24:37,positive
M9,533-47-1358,2020-03-17,8:07:52,positive
M10,590-02-6737,2020-03-17,2:02:02,negative
M1,841-78-5706,2020-03-17,18:41:31,negative
M2,463-25-3945,2020-03-17,0:30:18,negative
M3,266-01-0983,2020-03-17,5:07:22,negative
M4,328-62-8311,2020-03-17,2:18:34,positive
M5,103-58-4566,2020-03-17,20:34:46,negative
M6,815-18-1506,2020-03-17,2:22:51,negative
M7,870-55-4563,2020-03-17,7:54:35,negative
M8,236-23-0825,2020-03-17,0:13:52,positive
M9,753-97-8615,2020-03-17,10:37:57,positive
M10,499-43-6879,2020-03-17,12:58:35,positive
M1,191-54-2666,2020-03-17,23:12:06,positive
M2,458-65-6878,2020-03-17,12:45:10,positive
M3,242-38-2668,2020-03-17,1:31:35,negative
M4,130-74-3596,2020-03-17,15:54:41,negative
M5,805-74-4005,2020-03-17,5:01:26,negative
M6,450-88-8946,2020-03-17,4:06:26,negative
M7,319-12-8293,2020-03-17,6:17:44,negative
M8,477-17-4294,2020-03-17,4:07:28,negative
M9,518-64-3179,2020-03-17,8:39:46,negative
M10,594-01-6623,2020-03-17,9:14:12,positive
M1,347-07-1092,2020-03-17,20:59:20,positive
M2,246-30-1376,2020-03-17,15:34:29,negative
M3,720-04-5598,2020-03-17,5:38:07,positive
M4,855-74-0353,2020-03-17,13:49:10,positive
M5,382-63-8819,2020-03-17,2:20:50,positive
M6,310-19-5179,2020-03-17,23:55:05,positive
M7,699-06-2932,2020-03-17,1:20:39,positive
M8,709-38-3671,2020-03-17,7:41:21,positive
M9,356-95-8894,2020-03-17,0:05:24,positive
M10,780-18-1344,2020-03-17,3:06:02,negative
M1,234-33-7358,2020-03-17,2:51:59,positive
M2,193-72-7779,2020-03-17,3:43:40,negative
M3,109-90-6094,2020-03-17,17:32:21,negative
M4,816-04-1979,2020-03-17,21:30:11,negative
M5,885-52-2339,2020-03-17,20:12:13,negative
M5,552-32-3415,2020-03-17,23:49:51,positive
M6,716-75-9794,2020-03-17,0:26:39,positive
M7,279-27-2708,2020-03-17,10:36:57,negative
M8,523-05-6030,2020-03-17,6:55:30,negative
M9,532-23-3990,2020-03-17,13:28:58,negative
M10,899-35-4708,2020-03-17,20:54:38,positive
M2,436-93-5852,2020-03-17,23:15:25,negative
M3,401-73-6542,2020-03-17,19:44:56,negative
M4,621-40-2712,2020-03-17,15:01:51,positive
M5,153-45-6270,2020-03-17,23:07:55,positive
M6,363-41-5644,2020-03-17,22:08:25,positive
M7,823-27-1807,2020-03-17,8:24:54,positive
M8,602-42-0939,2020-03-17,1:09:32,negative
M9,823-96-2225,2020-03-17,0:15:27,negative
M10,409-13-0404,2020-03-17,13:43:40,positive
M1,811-68-2977,2020-03-17,20:56:38,negative
M2,553-76-2713,2020-03-17,5:12:56,negative
M3,808-52-1135,2020-03-17,4:27:06,negative
M4,496-16-8769,2020-03-17,9:29:51,negative
M5,508-29-3632,2020-03-17,6:54:16,negative
M6,630-93-6928,2020-03-17,8:56:19,negative
M7,557-95-7758,2020-03-17,11:04:18,positive
M8,111-51-2694,2020-03-17,14:02:02,positive
M9,318-90-2579,2020-03-17,23:58:53,negative
M10,124-81-5463,2020-03-17,14:30:43,negative
M1,194-26-4286,2020-03-17,6:36:35,negative
M2,328-36-8126,2020-03-17,13:12:31,positive
M3,812-53-9947,2020-03-17,1:13:13,negative
M4,510-26-5568,2020-03-17,19:20:50,negative
M5,529-30-7135,2020-03-17,16:44:15,positive
M6,340-43-6778,2020-03-17,6:25:26,negative
M7,735-53-3282,2020-03-17,23:53:50,positive
M8,138-48-7224,2020-03-17,13:29:45,negative
M9,589-15-1545,2020-03-17,14:53:27,positive
M10,730-45-4500,2020-03-17,20:34:55,negative
M1,484-16-5688,2020-03-17,4:11:13,positive
M2,864-69-6177,2020-03-17,5:26:51,negative
M3,473-12-8892,2020-03-17,23:39:39,negative
M4,616-26-7996,2020-03-17,11:35:25,positive
M5,772-01-9378,2020-03-17,9:52:44,positive
M6,284-29-7357,2020-03-17,22:05:21,positive
M5,636-51-7433,2020-03-17,18:56:32,positive
M6,791-60-4835,2020-03-17,9:11:46,negative
M7,335-26-1579,2020-03-17,14:02:19,positive
M8,604-55-3246,2020-03-17,9:57:40,negative
M9,481-33-8579,2020-03-17,17:10:11,negative
M10,386-94-6803,2020-03-17,15:51:44,negative
M3,678-87-8056,2020-03-17,20:27:45,negative
M4,103-42-2167,2020-03-17,19:26:38,positive
M5,264-62-2661,2020-03-17,14:15:20,positive
M6,213-14-5050,2020-03-17,2:53:04,positive
M7,175-46-7580,2020-03-17,9:27:26,positive
M8,417-37-2240,2020-03-17,20:19:21,negative
M9,180-38-7659,2020-03-17,17:34:08,negative
M10,110-43-5062,2020-03-17,22:21:02,positive
M1,433-73-4491,2020-03-17,7:18:35,negative
M2,314-29-6968,2020-03-17,8:43:11,negative
M3,664-66-8850,2020-03-17,13:12:00,negative
M4,758-05-5292,2020-03-17,4:39:35,negative
M5,257-42-2709,2020-03-17,8:58:58,positive
M6,835-61-5307,2020-03-17,4:57:00,positive
M7,312-34-0854,2020-03-17,23:01:33,negative
M8,863-90-2720,2020-03-17,18:27:59,positive
M9,657-76-7080,2020-03-17,11:10:23,negative
M10,563-50-9517,2020-03-17,7:07:15,positive
M1,773-87-8993,2020-03-17,17:26:09,negative
M2,233-12-2587,2020-03-17,15:35:46,positive
M3,234-80-9826,2020-03-17,17:32:21,positive
M4,331-37-3728,2020-03-17,9:39:55,negative
M5,101-03-8851,2020-03-17,4:54:36,positive
M6,432-71-7185,2020-03-17,19:29:09,negative
M5,176-71-8268,2020-03-17,2:47:22,negative
M6,520-98-2329,2020-03-17,23:42:15,negative
M7,800-05-9986,2020-03-17,16:13:57,positive
M8,196-81-9076,2020-03-17,23:23:36,positive
M9,180-82-5534,2020-03-17,17:59:26,positive
M10,463-42-7536,2020-03-17,14:22:49,positive
M3,191-90-1032,2020-03-17,4:55:20,negative
M4,435-80-0674,2020-03-17,8:33:09,positive
M5,652-67-7675,2020-03-17,3:18:47,negative
M6,778-76-4749,2020-03-17,19:36:22,positive
M7,345-32-2489,2020-03-17,22:32:23,negative
M8,150-36-5789,2020-03-17,5:36:53,negative
M9,345-78-7735,2020-03-17,19:13:48,positive
M10,811-28-8002,2020-03-17,6:42:12,negative
M1,774-32-7567,2020-03-17,18:51:55,negative
M2,466-12-7124,2020-03-17,8:10:47,positive
M3,692-01-0952,2020-03-17,8:57:02,positive
M4,194-13-2381,2020-03-17,11:00:16,positive
M5,239-96-8885,2020-03-17,3:26:55,negative
M6,306-91-2554,2020-03-17,9:19:06,positive
M7,159-28-8720,2020-03-17,5:40:05,negative
M8,428-13-8734,2020-03-17,12:26:30,positive
M9,142-36-6918,2020-03-17,6:18:04,negative
M10,454-10-4081,2020-03-17,0:49:15,negative
M5,329-84-1531,2020-03-17,15:00:32,negative
M6,330-84-1831,2020-03-17,15:06:23,positive
M7,110-11-6514,2020-03-17,19:42:34,positive
M8,162-34-7291,2020-03-17,7:07:56,positive
M9,199-88-7339,2020-03-17,0:03:42,negative
M10,507-11-5354,2020-03-17,13:05:52,positive
M7,305-85-0302,2020-03-17,6:31:12,negative
M8,461-02-7807,2020-03-17,23:01:04,positive
M9,411-84-4218,2020-03-17,15:01:33,negative
M10,718-57-1402,2020-03-17,23:06:48,positive
M1,342-35-5742,2020-03-17,2:20:07,negative
M2,178-95-9881,2020-03-17,4:06:56,negative
M3,616-14-2618,2020-03-17,22:09:57,negative
M4,811-29-9621,2020-03-17,13:25:47,negative
M5,838-68-3613,2020-03-17,10:24:55,positive
M6,677-85-0722,2020-03-17,14:22:11,positive
M7,843-30-0962,2020-03-17,3:35:02,positive
